customer_id,rank,product_id,product_name,category
CUST000001,1,PROD0019,Debit Card Premium,card
CUST000001,2,PROD0011,Business Account,business
CUST000001,3,PROD0020,Mobile Banking Pro,digital
CUST000001,4,PROD0010,Travel Insurance,insurance
CUST000001,5,PROD0015,Wealth Management,investment
CUST000002,1,PROD0015,Wealth Management,investment
CUST000002,2,PROD0016,Senior Citizen FD,fixed_deposit
CUST000002,3,PROD0019,Debit Card Premium,card
CUST000002,4,PROD0003,Gold Credit Card,credit_card
CUST000002,5,PROD0013,Rewards Credit Card,credit_card
CUST000003,1,PROD0004,Personal Loan,loan
CUST000003,2,PROD0011,Business Account,business
CUST000003,3,PROD0019,Debit Card Premium,card
CUST000003,4,PROD0015,Wealth Management,investment
CUST000003,5,PROD0020,Mobile Banking Pro,digital
CUST000004,1,PROD0008,Mutual Fund Starter,investment
CUST000004,2,PROD0006,Auto Loan,auto_loan
CUST000004,3,PROD0011,Business Account,business
CUST000004,4,PROD0016,Senior Citizen FD,fixed_deposit
CUST000004,5,PROD0017,NRI Account,checking
CUST000005,1,PROD0001,Savings Plus,savings
CUST000005,2,PROD0012,Student Savings,savings
CUST000005,3,PROD0013,Rewards Credit Card,credit_card
CUST000005,4,PROD0020,Mobile Banking Pro,digital
CUST000005,5,PROD0016,Senior Citizen FD,fixed_deposit
CUST000006,1,PROD0003,Gold Credit Card,credit_card
CUST000006,2,PROD0019,Debit Card Premium,card
CUST000006,3,PROD0016,Senior Citizen FD,fixed_deposit
CUST000006,4,PROD0017,NRI Account,checking
CUST000006,5,PROD0015,Wealth Management,investment
CUST000007,1,PROD0012,Student Savings,savings
CUST000007,2,PROD0001,Savings Plus,savings
CUST000007,3,PROD0024,Two-Wheeler Loan,auto_loan
CUST000007,4,PROD0016,Senior Citizen FD,fixed_deposit
CUST000007,5,PROD0017,NRI Account,checking
CUST000008,1,PROD0008,Mutual Fund Starter,investment
CUST000008,2,PROD0004,Personal Loan,loan
CUST000008,3,PROD0016,Senior Citizen FD,fixed_deposit
CUST000008,4,PROD0011,Business Account,business
CUST000008,5,PROD0019,Debit Card Premium,card
CUST000009,1,PROD0006,Auto Loan,auto_loan
CUST000009,2,PROD0011,Business Account,business
CUST000009,3,PROD0016,Senior Citizen FD,fixed_deposit
CUST000009,4,PROD0017,NRI Account,checking
CUST000009,5,PROD0013,Rewards Credit Card,credit_card
CUST000010,1,PROD0019,Debit Card Premium,card
CUST000010,2,PROD0015,Wealth Management,investment
CUST000010,3,PROD0020,Mobile Banking Pro,digital
CUST000010,4,PROD0013,Rewards Credit Card,credit_card
CUST000010,5,PROD0004,Personal Loan,loan
CUST000011,1,PROD0012,Student Savings,savings
CUST000011,2,PROD0010,Travel Insurance,insurance
CUST000011,3,PROD0022,PPF Account,savings
CUST000011,4,PROD0004,Personal Loan,loan
CUST000011,5,PROD0015,Wealth Management,investment
CUST000012,1,PROD0017,NRI Account,checking
CUST000012,2,PROD0019,Debit Card Premium,card
CUST000012,3,PROD0020,Mobile Banking Pro,digital
CUST000012,4,PROD0010,Travel Insurance,insurance
CUST000012,5,PROD0013,Rewards Credit Card,credit_card
CUST000013,1,PROD0008,Mutual Fund Starter,investment
CUST000013,2,PROD0017,NRI Account,checking
CUST000013,3,PROD0003,Gold Credit Card,credit_card
CUST000013,4,PROD0011,Business Account,business
CUST000013,5,PROD0013,Rewards Credit Card,credit_card
CUST000014,1,PROD0017,NRI Account,checking
CUST000014,2,PROD0006,Auto Loan,auto_loan
CUST000014,3,PROD0015,Wealth Management,investment
CUST000014,4,PROD0011,Business Account,business
CUST000014,5,PROD0008,Mutual Fund Starter,investment
CUST000015,1,PROD0019,Debit Card Premium,card
CUST000015,2,PROD0003,Gold Credit Card,credit_card
CUST000015,3,PROD0011,Business Account,business
CUST000015,4,PROD0025,Crop Insurance,insurance
CUST000015,5,PROD0015,Wealth Management,investment
CUST000016,1,PROD0016,Senior Citizen FD,fixed_deposit
CUST000016,2,PROD0019,Debit Card Premium,card
CUST000016,3,PROD0003,Gold Credit Card,credit_card
CUST000016,4,PROD0009,Health Insurance,insurance
CUST000016,5,PROD0013,Rewards Credit Card,credit_card
CUST000017,1,PROD0002,Premium Checking,checking
CUST000017,2,PROD0019,Debit Card Premium,card
CUST000017,3,PROD0020,Mobile Banking Pro,digital
CUST000017,4,PROD0011,Business Account,business
CUST000017,5,PROD0016,Senior Citizen FD,fixed_deposit
CUST000018,1,PROD0003,Gold Credit Card,credit_card
CUST000018,2,PROD0019,Debit Card Premium,card
CUST000018,3,PROD0011,Business Account,business
CUST000018,4,PROD0020,Mobile Banking Pro,digital
CUST000018,5,PROD0015,Wealth Management,investment
CUST000019,1,PROD0019,Debit Card Premium,card
CUST000019,2,PROD0016,Senior Citizen FD,fixed_deposit
CUST000019,3,PROD0022,PPF Account,savings
CUST000019,4,PROD0013,Rewards Credit Card,credit_card
CUST000019,5,PROD0010,Travel Insurance,insurance
CUST000020,1,PROD0019,Debit Card Premium,card
CUST000020,2,PROD0015,Wealth Management,investment
CUST000020,3,PROD0017,NRI Account,checking
CUST000020,4,PROD0014,Education Loan,loan
CUST000020,5,PROD0011,Business Account,business
CUST000021,1,PROD0025,Crop Insurance,insurance
CUST000021,2,PROD0010,Travel Insurance,insurance
CUST000021,3,PROD0008,Mutual Fund Starter,investment
CUST000021,4,PROD0015,Wealth Management,investment
CUST000021,5,PROD0017,NRI Account,checking
CUST000022,1,PROD0013,Rewards Credit Card,credit_card
CUST000022,2,PROD0015,Wealth Management,investment
CUST000022,3,PROD0008,Mutual Fund Starter,investment
CUST000022,4,PROD0020,Mobile Banking Pro,digital
CUST000022,5,PROD0011,Business Account,business
CUST000023,1,PROD0015,Wealth Management,investment
CUST000023,2,PROD0023,Demat Account,investment
CUST000023,3,PROD0025,Crop Insurance,insurance
CUST000023,4,PROD0010,Travel Insurance,insurance
CUST000023,5,PROD0011,Business Account,business
CUST000024,1,PROD0025,Crop Insurance,insurance
CUST000024,2,PROD0019,Debit Card Premium,card
CUST000024,3,PROD0015,Wealth Management,investment
CUST000024,4,PROD0008,Mutual Fund Starter,investment
CUST000024,5,PROD0004,Personal Loan,loan
CUST000025,1,PROD0019,Debit Card Premium,card
CUST000025,2,PROD0012,Student Savings,savings
CUST000025,3,PROD0001,Savings Plus,savings
CUST000025,4,PROD0016,Senior Citizen FD,fixed_deposit
CUST000025,5,PROD0020,Mobile Banking Pro,digital
CUST000026,1,PROD0004,Personal Loan,loan
CUST000026,2,PROD0015,Wealth Management,investment
CUST000026,3,PROD0008,Mutual Fund Starter,investment
CUST000026,4,PROD0003,Gold Credit Card,credit_card
CUST000026,5,PROD0016,Senior Citizen FD,fixed_deposit
CUST000027,1,PROD0013,Rewards Credit Card,credit_card
CUST000027,2,PROD0015,Wealth Management,investment
CUST000027,3,PROD0016,Senior Citizen FD,fixed_deposit
CUST000027,4,PROD0020,Mobile Banking Pro,digital
CUST000027,5,PROD0017,NRI Account,checking
CUST000028,1,PROD0008,Mutual Fund Starter,investment
CUST000028,2,PROD0004,Personal Loan,loan
CUST000028,3,PROD0016,Senior Citizen FD,fixed_deposit
CUST000028,4,PROD0019,Debit Card Premium,card
CUST000028,5,PROD0003,Gold Credit Card,credit_card
CUST000029,1,PROD0015,Wealth Management,investment
CUST000029,2,PROD0025,Crop Insurance,insurance
CUST000029,3,PROD0011,Business Account,business
CUST000029,4,PROD0020,Mobile Banking Pro,digital
CUST000029,5,PROD0016,Senior Citizen FD,fixed_deposit
CUST000030,1,PROD0016,Senior Citizen FD,fixed_deposit
CUST000030,2,PROD0013,Rewards Credit Card,credit_card
CUST000030,3,PROD0019,Debit Card Premium,card
CUST000030,4,PROD0011,Business Account,business
